tickerA,tickerB,sector,entryDate,peakDate,exitDate,peakZ,exitZ,spreadMove,dollarPnl,cost,netPnl,holdDays
FTNT,WDAY,TECH,2026-01-14,2026-01-14,2026-03-03,2.7157,0.1056,0.60374479,603.74,8,595.74,32
MU,NXPI,SEMIS,2025-09-08,2025-09-10,2025-11-20,2.5936,-0.3262,0.56003058,560.03,8,552.03,53
MU,TXN,SEMIS,2025-09-05,2025-09-11,2025-11-18,2.5602,0.2116,0.51390219,513.9,8,505.9,52
GOLD,CLF,MINING,2026-01-06,2026-01-06,2026-02-25,2.9615,0.476,0.50420934,504.21,8,496.21,34
UNG,SLV,COMMODITY,2025-12-08,2025-12-09,2026-01-21,-3.039,0.0158,0.45149923,451.5,8,443.5,29
MU,ON,SEMIS,2025-09-04,2025-09-11,2025-11-18,2.7239,0.4414,0.44990265,449.9,8,441.9,53
MU,ADI,SEMIS,2025-09-10,2025-09-12,2025-11-18,2.4889,0.246,0.43772738,437.73,8,429.73,49
QCOM,MU,SEMIS,2025-12-22,2025-12-22,2026-02-24,-2.4778,-0.2383,0.43103893,431.04,8,423.04,42
ORCL,WDAY,TECH,2025-05-23,2025-05-23,2025-07-22,3.6269,0.2723,0.41877436,418.77,8,410.77,39
FTNT,NOW,TECH,2025-12-10,2025-12-15,2026-02-18,3.0843,0.3826,0.38920899,389.21,8,381.21,46
DHT,TRMD,SHIPPING,2026-01-05,2026-01-05,2026-03-06,-2.6307,0.4986,0.38380024,383.8,8,375.8,42
AA,MP,MINING,2025-11-25,2025-11-26,2026-01-16,2.6141,0.3427,0.364802,364.8,8,356.8,35
MU,SWKS,SEMIS,2025-12-19,2025-12-22,2026-02-04,2.5103,-0.0236,0.36382027,363.82,8,355.82,30
QCOM,ADI,SEMIS,2026-01-06,2026-01-09,2026-03-04,-3.3388,-0.492,0.3592094,359.21,8,351.21,39
PLTR,WDAY,TECH,2025-08-08,2025-08-11,2025-08-18,2.312,-0.0661,0.34928675,349.29,8,341.29,6
AMD,MU,SEMIS,2025-11-05,2025-11-06,2026-01-14,-3.3398,-0.4918,0.34278504,342.79,8,334.79,47
UNG,SLV,COMMODITY,2026-01-30,2026-01-30,2026-02-09,2.9384,0.2064,0.33921418,339.21,8,331.21,6
LMT,TDG,DEFENSE,2025-07-23,2025-07-23,2025-10-14,-2.7443,0.3449,0.32400068,324,8,316,58
ON,ADI,SEMIS,2025-07-10,2025-07-22,2025-09-12,2.5486,-0.3713,0.32022064,320.22,8,312.22,45
AMD,INTC,SEMIS,2025-09-18,2025-09-18,2025-11-06,-2.961,-0.1219,0.31107151,311.07,8,303.07,35
GOLD,AA,MINING,2026-01-05,2026-01-12,2026-02-23,3.0974,0.3028,0.31054219,310.54,8,302.54,33
PLTR,WDAY,TECH,2025-11-21,2025-11-25,2025-12-09,-2.7655,0.4814,0.30827772,308.28,8,300.28,11
FTNT,CRM,TECH,2026-01-13,2026-01-13,2026-02-24,2.742,-0.1096,0.30529203,305.29,8,297.29,28
FRO,DHT,SHIPPING,2026-02-06,2026-02-06,2026-03-11,-2.4849,-0.3869,0.29558659,295.59,8,287.59,22
DHT,NAT,SHIPPING,2026-01-05,2026-01-05,2026-03-06,-2.5841,0.1635,0.29295793,292.96,8,284.96,42
QCOM,LRCX,SEMIS,2025-12-19,2025-12-22,2026-02-04,-2.6857,-0.2855,0.28807669,288.08,8,280.08,30
SLB,MPC,ENERGY,2025-12-03,2025-12-04,2026-02-02,2.8652,0.3939,0.28326788,283.27,8,275.27,40
MU,TXN,SEMIS,2025-12-19,2025-12-22,2026-02-03,2.3983,0.4387,0.27526227,275.26,8,267.26,29
MU,ON,SEMIS,2025-12-19,2025-12-22,2026-02-04,2.2655,-0.0247,0.27285484,272.85,8,264.85,30
KTOS,HWM,DEFENSE,2025-07-10,2025-07-11,2025-08-29,3.436,0.2776,0.26692779,266.93,8,258.93,36
NVO,VRTX,PHARMA,2026-02-03,2026-02-03,2026-03-16,-3.2024,-0.4297,0.26627451,266.27,8,258.27,28
CRM,NET,TECH,2025-12-04,2025-12-05,2026-02-24,3.3967,-0.2818,0.26436978,264.37,8,256.37,54
QCOM,TXN,SEMIS,2026-01-09,2026-01-12,2026-02-20,-3.6908,-0.3578,0.26114591,261.15,8,253.15,28
PLTR,WDAY,TECH,2025-05-12,2025-05-12,2025-06-05,-2.2651,0.3848,0.25205503,252.06,8,244.06,17
RIO,CLF,MINING,2025-12-10,2025-12-10,2026-03-03,2.6151,-0.2803,0.25021493,250.21,8,242.21,55
STLA,ALV,AUTOS,2025-05-23,2025-05-28,2025-07-18,-2.6326,-0.4022,0.24903117,249.03,8,241.03,37
NEM,VALE,MINING,2025-07-23,2025-07-25,2025-10-09,3.1521,0.4608,0.24671749,246.72,8,238.72,55
PLTR,NOW,TECH,2026-03-06,2026-03-06,2026-03-12,-2.5379,0.1684,0.24125313,241.25,8,233.25,4
AMD,TXN,SEMIS,2025-10-07,2025-10-07,2025-11-06,3.2757,0.4141,0.23771693,237.72,8,229.72,22
ORCL,NOW,TECH,2025-06-13,2025-06-13,2025-08-18,3.1139,0.4679,0.23649439,236.49,8,228.49,44
HAL,MPC,ENERGY,2025-12-03,2025-12-05,2026-02-02,2.555,-0.26,0.23432207,234.32,8,226.32,40
INTC,ADI,SEMIS,2025-09-19,2025-09-19,2025-10-22,2.6995,0.3383,0.22911746,229.12,8,221.12,23
STLA,BWA,AUTOS,2025-07-31,2025-07-31,2025-09-15,-3.0588,-0.1763,0.2289649,228.96,8,220.96,31
INTC,MU,SEMIS,2025-05-12,2025-05-14,2025-06-27,-2.0681,-0.1342,0.22864529,228.65,8,220.65,32
GLD,SLV,COMMODITY,2025-11-26,2025-11-28,2026-02-20,-3.0274,0.3299,0.22804196,228.04,8,220.04,57
PLTR,NOW,TECH,2025-12-15,2025-12-15,2026-01-26,4.0305,0.234,0.22658782,226.59,8,218.59,27
CRWD,ZS,TECH,2025-11-12,2025-11-14,2025-12-18,3.1623,0.4383,0.22613016,226.13,8,218.13,25
SNOW,WDAY,TECH,2025-05-22,2025-05-22,2025-07-18,3.9733,0.1812,0.22611027,226.11,8,218.11,38
LMT,SAIC,DEFENSE,2026-01-09,2026-01-14,2026-02-26,3.1372,0.1339,0.22333688,223.34,8,215.34,32
