tickerA,tickerB,sector,entryDate,exitDate,entryPriceA,entryPriceB,exitPriceA,exitPriceB,beta,halfLife,kappa,sigma,ouR2,entryZ,exitZ,holdDays,exitReason,zPnlPct,dollarPnlPct,dollarPnlAfterCost,zWin,dollarWin,gap
LMT,NOC,DEFENSE,2025-03-21,2025-04-04,428.0068,482.959,420.6576,477.8413,1.415629,25.33,0.027367,0.196413,0,-2.9672,-0.3367,10,REVERT,5.173,-0.217,-10.17,1,0,5.39
LMT,NOC,DEFENSE,2025-04-22,2025-05-05,449.7917,456.7404,459.0195,485.5278,1.415629,25.33,0.027367,0.196413,0,3.7694,0.4073,9,REVERT,6.944,6.871,60.71,1,1,0.073
LMT,NOC,DEFENSE,2025-06-11,2025-06-24,447.5189,483.0366,451.0473,478.6261,1.415629,25.33,0.027367,0.196413,0,-3.2379,-0.45,8,REVERT,5.574,2.081,12.81,1,1,3.493
LMT,NOC,DEFENSE,2025-07-10,2025-07-22,455.0756,508.1644,402.571,557.5302,1.415629,25.33,0.027367,0.196413,0,-2.0993,-4.1056,8,STOP,-3.93,-25.29,-260.9,0,0,21.36
LMT,NOC,DEFENSE,2025-07-23,2025-08-12,411.049,562.1878,422.9769,574.3513,1.415629,25.33,0.027367,0.196413,0,-2.8929,-0.4443,14,REVERT,4.398,-0.161,-9.61,1,0,4.559
LMT,NOC,DEFENSE,2025-09-04,2025-09-26,451.0306,575.5762,481.231,590.2297,1.415629,25.33,0.027367,0.196413,0,2.3048,0.2072,16,REVERT,3.845,-3.092,-38.92,1,0,6.937
LMT,NOC,DEFENSE,2025-10-08,2025-10-15,507.4724,633.3463,493.0485,604.5357,1.415629,25.33,0.027367,0.196413,0,-2.8179,-0.2614,5,REVERT,4.658,3.597,27.97,1,1,1.06
LMT,NOC,DEFENSE,2025-10-30,2025-11-07,483.4819,574.4246,452.5115,564.5067,1.415629,25.33,0.027367,0.196413,0,2.3088,-0.0942,6,REVERT,4.164,3.962,31.62,1,1,0.202
LMT,NOC,DEFENSE,2025-12-09,2025-12-15,464.4423,548.8721,481.8804,573.9517,1.415629,25.33,0.027367,0.196413,0,2.1166,0.497,4,REVERT,3.071,2.714,19.14,1,1,0.358
LMT,NOC,DEFENSE,2026-01-05,2026-01-12,508.8881,609.3683,548.3501,627.3109,1.415629,25.33,0.027367,0.196413,0,-2.1618,0.0839,5,REVERT,3.862,3.586,27.86,1,1,0.276
LMT,NOC,DEFENSE,2026-01-28,2026-02-20,594.1388,686.9299,654.8091,721.25,1.415629,25.33,0.027367,0.196413,0,-2.1083,-0.2326,16,REVERT,3.468,3.139,23.39,1,1,0.33
LMT,NOC,DEFENSE,2026-03-02,2026-03-17,676.7,768.02,636.33,724.03,1.415629,25.33,0.027367,0.196413,0,-2.3394,-0.492,11,REVERT,3.383,2.143,13.43,1,1,1.24
LMT,NOC,DEFENSE,2026-03-23,2026-04-01,616.25,680,617.64,697,1.415629,25.33,0.027367,0.196413,0,2.2088,0.271,7,REVERT,3.648,3.314,25.14,1,1,0.335
LMT,GD,DEFENSE,2025-03-21,2025-04-03,428.0068,257.2286,442.6858,263.2928,1.234196,46.61,0.014872,0.220862,0,-3.0207,-0.3925,9,REVERT,26.818,0.52,-2.8,1,0,26.298
LMT,GD,DEFENSE,2025-06-24,2025-08-12,451.0473,275.9775,422.9769,309.9244,1.234196,46.61,0.014872,0.220862,0,-2.2434,-0.3413,34,REVERT,18.599,-21.405,-222.05,1,0,40.003
LMT,GD,DEFENSE,2025-09-05,2025-09-30,457.9908,318.6592,492.851,336.5632,1.234196,46.61,0.014872,0.220862,0,2.4322,-0.0867,17,REVERT,19.167,-0.677,-14.77,1,0,19.844
LMT,GD,DEFENSE,2025-10-21,2025-11-17,483.2647,337.7352,464.7832,338.8157,1.234196,46.61,0.014872,0.220862,0,-2.6577,-0.0841,19,REVERT,20.653,-4.219,-50.19,1,0,24.872
LMT,GD,DEFENSE,2025-12-09,2026-01-09,464.4423,331.3708,540.0737,350.8207,1.234196,46.61,0.014872,0.220862,0,2.0109,3.1138,21,STOP,-8.71,-9.04,-98.4,0,0,0.33
LMT,GD,DEFENSE,2026-01-12,2026-02-26,548.3501,357.8096,638.2662,349.0985,1.234196,46.61,0.014872,0.220862,0,2.3255,0.207,31,REVERT,17.986,-19.402,-202.02,1,0,37.388
LMT,GD,DEFENSE,2026-03-26,2026-04-02,627.33,353.6374,622.79,347.476,1.234196,46.61,0.014872,0.220862,0,-2.064,-0.4776,5,REVERT,15.974,1.427,6.27,1,1,14.548
LMT,LHX,DEFENSE,2025-03-21,2025-03-31,428.0068,204.4772,434.8304,205.7848,1.333903,26.24,0.026413,0.21976,0,-2.5661,-0.4726,6,REVERT,12.15,0.741,-0.59,1,0,11.409
LMT,LHX,DEFENSE,2025-05-13,2025-05-14,447.6015,214.6922,437.2347,215.9507,1.333903,26.24,0.026413,0.21976,0,-2.1008,-3.3371,1,STOP,-7.038,-3.098,-38.98,0,0,-3.94
LMT,LHX,DEFENSE,2025-05-15,2025-08-08,452.7703,223.0393,417.1648,266.4926,1.333903,26.24,0.026413,0.21976,0,-2.9051,-0.3767,58,REVERT,13.876,-33.851,-346.51,1,0,47.728
LMT,LHX,DEFENSE,2025-09-04,2025-09-16,451.0306,269.7234,468.2781,282.1085,1.333903,26.24,0.026413,0.21976,0,2.2935,-0.0241,8,REVERT,10.089,2.301,15.01,1,1,7.788
LMT,LHX,DEFENSE,2025-09-29,2025-10-02,485.7131,294.6921,492.9991,293.8486,1.333903,26.24,0.026413,0.21976,0,-2.1745,-0.4481,3,REVERT,7.433,1.882,10.82,1,1,5.552
LMT,LHX,DEFENSE,2025-11-07,2025-11-14,452.5115,288.45,459.837,287.1896,1.333903,26.24,0.026413,0.21976,0,-2.7329,-0.4397,5,REVERT,9.585,2.202,14.02,1,1,7.383
LMT,LHX,DEFENSE,2025-12-16,2025-12-19,474.559,281.8682,471.6444,286.4522,1.333903,26.24,0.026413,0.21976,0,2.016,-0.2822,3,REVERT,7.663,2.784,19.84,1,1,4.88
LMT,LHX,DEFENSE,2026-01-07,2026-01-15,494.2651,308.6848,574.8604,339.2383,1.333903,26.24,0.026413,0.21976,0,-2.0242,-0.0707,6,REVERT,8.152,3.103,23.03,1,1,5.049
LMT,LHX,DEFENSE,2026-01-30,2026-03-05,630.8951,341.6599,655,358.85,1.333903,26.24,0.026413,0.21976,0,3.2563,-0.4241,23,REVERT,12.782,2.891,20.91,1,1,9.891
LMT,LHX,DEFENSE,2026-03-17,2026-03-20,636.33,368.86,627.43,352.85,1.333903,26.24,0.026413,0.21976,0,-2.1807,-0.2494,3,REVERT,8.145,4.391,35.91,1,1,3.754
LMT,LDOS,DEFENSE,2025-03-21,2025-04-08,428.0068,132.5502,431.5695,132.0847,0.814341,25.19,0.02752,0.247463,0,-2.7896,-0.1894,12,REVERT,8.308,1.118,3.18,1,1,7.19
LMT,LDOS,DEFENSE,2025-05-06,2025-05-23,455.7586,153.2702,456.4108,151.0318,0.814341,25.19,0.02752,0.247463,0,-3.1068,-0.0162,13,REVERT,10.146,1.332,5.32,1,1,8.814
LMT,LDOS,DEFENSE,2025-06-02,2025-06-11,469.297,140.2955,447.5189,144.5246,0.814341,25.19,0.02752,0.247463,0,2.6954,-0.034,7,REVERT,8.321,7.095,62.95,1,1,1.225
LMT,LDOS,DEFENSE,2025-06-24,2025-07-15,451.0473,151.1797,460.77,159.1047,0.814341,25.19,0.02752,0.247463,0,-2.0342,-0.2705,14,REVERT,5.788,-2.113,-29.13,1,0,7.901
LMT,LDOS,DEFENSE,2025-07-22,2025-08-18,402.571,160.1673,431.8763,176.8911,0.814341,25.19,0.02752,0.247463,0,-3.6425,-0.4573,19,REVERT,11.354,-1.223,-20.23,1,0,12.577
LMT,LDOS,DEFENSE,2025-09-04,2025-09-18,451.0306,177.3479,467.587,186.264,0.814341,25.19,0.02752,0.247463,0,2.2563,0.3456,10,REVERT,6.7,0.423,-3.77,1,0,6.277
LMT,LDOS,DEFENSE,2025-09-25,2025-10-03,478.1704,181.4967,498.0638,194.6541,0.814341,25.19,0.02752,0.247463,0,2.1846,0.4677,6,REVERT,5.898,1.743,9.43,1,1,4.154
LMT,LDOS,DEFENSE,2025-10-10,2025-11-17,498.6166,187.1399,464.7832,187.8963,0.814341,25.19,0.02752,0.247463,0,2.1027,0.0331,26,REVERT,7.047,7.115,63.15,1,1,-0.067
LMT,LDOS,DEFENSE,2025-12-15,2026-02-26,481.8804,185.4901,638.2662,175.4251,0.814341,25.19,0.02752,0.247463,0,2.1021,0.4322,49,REVERT,5.766,-36.872,-376.72,1,0,42.638
LMT,LDOS,DEFENSE,2026-03-25,2026-03-30,624.2,158.88,598.57,154.19,0.814341,25.19,0.02752,0.247463,0,2.1152,0.2047,3,REVERT,5.497,1.702,9.02,1,1,3.795
LMT,SAIC,DEFENSE,2025-03-21,2025-04-08,428.0068,104.0716,431.5695,107.1279,0.41873,46.49,0.014908,0.196089,0,-2.4468,-0.4728,12,REVERT,3.432,-0.397,-11.97,1,0,3.83
LMT,SAIC,DEFENSE,2025-05-14,2025-05-19,437.2347,117.2804,460.4796,120.9482,0.41873,46.49,0.014908,0.196089,0,-2.7763,-0.0051,3,REVERT,4.852,4.007,32.07,1,1,0.846
LMT,SAIC,DEFENSE,2025-05-30,2025-06-02,469.5518,113.9183,469.297,98.8133,0.41873,46.49,0.014908,0.196089,0,2.2858,3.4899,1,STOP,-2.066,-5.498,-62.98,0,0,3.432
LMT,SAIC,DEFENSE,2025-06-03,2025-06-11,470.6201,101.9782,447.5189,102.3431,0.41873,46.49,0.014908,0.196089,0,2.4779,0.1412,6,REVERT,3.963,5.058,42.58,1,1,-1.095
LMT,SAIC,DEFENSE,2025-07-22,2025-08-06,402.571,113.3223,426.2015,113.8861,0.41873,46.49,0.014908,0.196089,0,-3.8351,-0.3513,11,REVERT,6.204,5.662,48.62,1,1,0.542
LMT,SAIC,DEFENSE,2025-08-20,2025-10-16,437.1297,116.5073,486.9669,96.1861,0.41873,46.49,0.014908,0.196089,0,2.0929,0.1656,40,REVERT,3.373,-18.704,-195.04,1,0,22.077
LMT,SAIC,DEFENSE,2025-11-07,2025-11-14,452.5115,91.1524,459.837,87.9853,0.41873,46.49,0.014908,0.196089,0,-2.63,-0.207,5,REVERT,4.102,3.074,22.74,1,1,1.029
LMT,SAIC,DEFENSE,2025-12-04,2025-12-09,445.9995,101.0609,464.4423,96.6329,0.41873,46.49,0.014908,0.196089,0,-2.7305,-0.308,3,REVERT,4.158,5.97,51.7,1,1,-1.812
LMT,SAIC,DEFENSE,2026-01-06,2026-01-07,519.3032,108.0207,494.2651,106.0747,0.41873,46.49,0.014908,0.196089,0,2.2957,0.427,1,REVERT,3.115,4.067,32.67,1,1,-0.952
LMT,SAIC,DEFENSE,2026-01-09,2026-02-26,540.0737,113.2033,638.2662,91.343,0.41873,46.49,0.014908,0.196089,0,2.6339,0.2337,32,REVERT,3.982,-26.267,-270.67,1,0,30.25
LMT,SAIC,DEFENSE,2026-03-17,2026-04-06,636.33,94.2118,637.9,99.1823,0.41873,46.49,0.014908,0.196089,0,-2.4831,-0.2758,13,REVERT,3.469,-1.962,-27.62,1,0,5.431
