tickerA,tickerB,sector,entryDate,exitDate,beta,halfLife,entryZ,exitZ,holdDays,exitReason,spreadChange,spreadPnl,dollarPnl,pnlPct,win
LMT,GD,DEFENSE,2025-05-14,2025-05-23,1.0393864646955708,34.28355947388878,-2.1292,-0.2699,7,REVERT,0.02744961,0.02744961,27.45,2.745,1
LMT,GD,DEFENSE,2025-06-24,2025-07-22,1.0393864646955708,34.28355947388878,-2.1999,-3.7413,19,STOP,-0.17849046,-0.17849046,-178.49,-17.849,0
LMT,GD,DEFENSE,2025-07-23,2025-08-07,1.0393864646955708,34.28355947388878,-3.3181,-0.4631,11,REVERT,0.04062556,0.04062556,40.63,4.063,1
LMT,GD,DEFENSE,2025-09-05,2025-09-30,1.0393864646955708,34.28355947388878,2.3356,0.2506,17,REVERT,0.01654122,-0.01654122,-16.54,-1.654,0
LMT,GD,DEFENSE,2025-10-21,2025-11-17,1.0393864646955708,34.28355947388878,-2.9406,-0.0276,19,REVERT,-0.04231362,-0.04231362,-42.31,-4.231,0
LMT,GD,DEFENSE,2025-12-09,2026-01-09,1.0393864646955708,34.28355947388878,2.0091,3.2445,21,STOP,0.09158465,-0.09158465,-91.58,-9.158,0
LMT,GD,DEFENSE,2026-01-12,2026-02-25,1.0393864646955708,34.28355947388878,2.4165,1.039,30,TIMEOUT,0.20927638,-0.20927638,-209.28,-20.928,0
LMT,GD,DEFENSE,2026-03-17,2026-04-02,1.0393864646955708,34.28355947388878,-2.2413,-0.4914,12,REVERT,-0.00028864,-0.00028864,-0.29,-0.029,0
LMT,LHX,DEFENSE,2025-05-13,2025-06-26,1.210111495018406,26.57135078031568,-2.299,-1.1801,30,TIMEOUT,-0.15143063,-0.15143063,-151.43,-15.143,0
LMT,LHX,DEFENSE,2025-07-09,2025-07-22,1.210111495018406,26.57135078031568,-2.0402,-3.6206,9,STOP,-0.1447249,-0.1447249,-144.72,-14.472,0
LMT,LHX,DEFENSE,2025-07-23,2025-08-07,1.210111495018406,26.57135078031568,-2.7562,-0.4856,11,REVERT,0.00797585,0.00797585,7.98,0.798,1
LMT,LHX,DEFENSE,2025-09-04,2025-09-16,1.210111495018406,26.57135078031568,2.3268,0.1507,8,REVERT,-0.01680057,0.01680057,16.8,1.68,1
LMT,LHX,DEFENSE,2025-09-29,2025-10-02,1.210111495018406,26.57135078031568,-2.1105,-0.1869,3,REVERT,0.01835802,0.01835802,18.36,1.836,1
LMT,LHX,DEFENSE,2025-11-07,2025-11-14,1.210111495018406,26.57135078031568,-2.7415,-0.4094,5,REVERT,0.02135785,0.02135785,21.36,2.136,1
LMT,LHX,DEFENSE,2025-12-17,2025-12-19,1.210111495018406,26.57135078031568,2.3714,-0.1106,2,REVERT,-0.03871241,0.03871241,38.71,3.871,1
LMT,LHX,DEFENSE,2026-01-08,2026-01-14,1.210111495018406,26.57135078031568,-2.3983,-0.2655,4,REVERT,0.03758786,0.03758786,37.59,3.759,1
LMT,LHX,DEFENSE,2026-01-29,2026-01-30,1.210111495018406,26.57135078031568,2.2691,3.4561,1,STOP,0.06424996,-0.06424996,-64.25,-6.425,0
LMT,LHX,DEFENSE,2026-02-02,2026-03-05,1.210111495018406,26.57135078031568,2.8087,-0.4028,22,REVERT,-0.03395735,0.03395735,33.96,3.396,1
LMT,LHX,DEFENSE,2026-03-17,2026-03-20,1.210111495018406,26.57135078031568,-2.2749,-0.334,3,REVERT,0.03961235,0.03961235,39.61,3.961,1
LMT,HII,DEFENSE,2025-05-13,2025-05-16,0.23278795474222846,40.302058755437145,-2.0498,-0.3429,3,REVERT,0.01388205,0.01388205,13.88,1.388,1
LMT,HII,DEFENSE,2025-05-30,2025-06-17,0.23278795474222846,40.302058755437145,2.0969,0.2158,12,REVERT,-0.01068293,0.01068293,10.68,1.068,1
LMT,HII,DEFENSE,2025-07-22,2025-08-06,0.23278795474222846,40.302058755437145,-4.2455,-0.2884,11,REVERT,0.04495778,0.04495778,44.96,4.496,1
LMT,HII,DEFENSE,2025-09-23,2025-10-15,0.23278795474222846,40.302058755437145,2.0144,0.2098,16,REVERT,0.01841252,-0.01841252,-18.41,-1.841,0
LMT,HII,DEFENSE,2025-10-24,2025-11-17,0.23278795474222846,40.302058755437145,-2.2749,-0.37,16,REVERT,-0.03811058,-0.03811058,-38.11,-3.811,0
LMT,HII,DEFENSE,2026-01-05,2026-02-18,0.23278795474222846,40.302058755437145,2.7038,1.1272,30,TIMEOUT,0.20285599,-0.20285599,-202.86,-20.286,0
LMT,HII,DEFENSE,2026-03-24,2026-03-26,0.23278795474222846,40.302058755437145,-2.2159,-0.4203,2,REVERT,0.03796696,0.03796696,37.97,3.797,1
LMT,LDOS,DEFENSE,2025-05-13,2025-05-23,0.7830038721390419,22.309478135144154,-2.127,0.0645,8,REVERT,0.03444256,0.03444256,34.44,3.444,1
LMT,LDOS,DEFENSE,2025-05-30,2025-06-11,0.7830038721390419,22.309478135144154,2.0643,-0.1204,8,REVERT,-0.03423094,0.03423094,34.23,3.423,1
LMT,LDOS,DEFENSE,2025-06-24,2025-07-15,0.7830038721390419,22.309478135144154,-2.1978,-0.1696,14,REVERT,-0.01867933,-0.01867933,-18.68,-1.868,0
LMT,LDOS,DEFENSE,2025-07-22,2025-08-18,0.7830038721390419,22.309478135144154,-3.9274,-0.3728,19,REVERT,-0.00749656,-0.00749656,-7.5,-0.75,0
LMT,LDOS,DEFENSE,2025-09-04,2025-09-18,0.7830038721390419,22.309478135144154,2.1795,0.3349,10,REVERT,-0.00235745,0.00235745,2.36,0.236,1
LMT,LDOS,DEFENSE,2025-09-25,2025-11-06,0.7830038721390419,22.309478135144154,2.2768,-2.0807,30,TIMEOUT,-0.08386499,0.08386499,83.86,8.386,1
LMT,LDOS,DEFENSE,2025-11-07,2025-11-17,0.7830038721390419,22.309478135144154,-2.47,0.1072,6,REVERT,0.06000951,0.06000951,60.01,6.001,1
LMT,LDOS,DEFENSE,2025-12-15,2026-01-29,0.7830038721390419,22.309478135144154,2.0418,1.7686,30,TIMEOUT,0.24560322,-0.24560322,-245.6,-24.56,0
LMT,LDOS,DEFENSE,2026-02-11,2026-02-26,0.7830038721390419,22.309478135144154,2.4007,0.3679,10,REVERT,0.0075189,-0.0075189,-7.52,-0.752,0
LMT,LDOS,DEFENSE,2026-03-26,2026-03-30,0.7830038721390419,22.309478135144154,2.6852,0.0168,2,REVERT,-0.02990076,0.02990076,29.9,2.99,1
LMT,SAIC,DEFENSE,2025-05-14,2025-05-19,0.6455237481037693,21.977358126186534,-2.5374,-0.2987,3,REVERT,0.03191994,0.03191994,31.92,3.192,1
LMT,SAIC,DEFENSE,2025-05-30,2025-06-02,0.6455237481037693,21.977358126186534,2.365,3.6339,1,STOP,0.0912823,-0.0912823,-91.28,-9.128,0
LMT,SAIC,DEFENSE,2025-06-03,2025-06-11,0.6455237481037693,21.977358126186534,2.4801,0.367,6,REVERT,-0.05263757,0.05263757,52.64,5.264,1
